"","Parm","Average_Likelihood","ID"
"result.82",0.762968589332886,1.66004905702859e-114,100
"result.83",0.21162392168073,7.74258951916803e-116,100
"result.84",0.112815090971999,1.56906052358197e-96,100
"result.85",0.338152897560503,2.08363863799912e-116,100
"result.86",0.795102556387428,2.65758155585644e-115,100
"result.87",0.01551425044192,1.97955958060498e-126,100
"result.88",0.142585806907155,8.7461783048391e-112,100
"result.89",0.378493624834809,1.07878423278893e-116,100
"result.90",0.443624674477614,1.09878266898921e-115,100
"result.91",0.813660665999632,2.25089171598968e-117,100
"result.92",0.878189614843577,2.24613001665365e-117,100
"result.93",0.326744668120518,2.08363864078509e-116,100
"result.94",0.310484397842083,2.08631603435947e-116,100
"result.95",0.352436097725295,2.083638637999e-116,100
"result.96",0.0221918676095083,9.33905982116271e-192,100
"result.97",0.75405547517119,7.97773241046442e-115,100
"result.98",0.559987638832536,2.24808342792685e-117,100
"result.99",0.421568955699913,1.07887750879373e-116,100
"result.100",0.622415836430155,2.24694211145641e-117,100
"result.1",0.0948297634720802,1.67315199858869e-93,101
"result.2",0.0884105533408001,2.78296191913635e-85,101
"result.3",0.0545514586404897,1.9645125180358e-110,101
"result.4",0.478605173069518,6.85409655761046e-111,101
"result.5",0.866761023872532,2.25862648681577e-113,101
"result.6",0.00727583089610562,5.368978896306e-110,101
"result.7",0.459783256675582,5.82882982236169e-112,101
"result.8",0.221952676849905,3.75063174914154e-110,101
"result.9",0.891466545392759,2.25862636274015e-113,101
"result.10",0.384981208599638,4.07690439202371e-113,101
"result.11",0.827687243046239,2.05001871896616e-111,101
"result.12",0.662900771219283,2.24636976696149e-113,101
"result.13",0.487051427331753,1.79195532185067e-110,101
"result.14",0.910833428469487,2.24635439244625e-113,101
"result.15",0.78094377207337,1.46337208615215e-110,101
"result.16",0.655861737306695,2.24639316911837e-113,101
"result.17",0.924012787016109,2.24635439244625e-113,101
"result.18",0.0465096989902668,3.2668964233786e-145,101
"result.19",0.0662331716739573,1.91916913292425e-89,101
"result.20",0.279248331862036,2.40518316972787e-113,101
"result.21",0.436578295216896,3.01951412900698e-113,101
"result.22",0.248840770982206,1.21838556201888e-112,101
"result.23",0.418399909259751,4.07690439204133e-113,101
"result.24",0.309421631898731,1.78545060075648e-110,101
